Timestep,Iteration,Total Reward,Suboptimal Arms,Regret
10000,72,8989,1,0.1
20000,72,17989,1,0.1
40000,72,36060,1,0.1
60000,72,53938,1,0.1
80000,72,71931,1,0.1
100000,72,89893,1,0.1
2,73,2,1,0.1
3,73,2,1,0.1
100,73,93,1,0.1
200,73,187,1,0.1
2000,73,1810,1,0.1
10000,73,9054,1,0.1
20000,73,17955,1,0.1
40000,73,35982,1,0.1
60000,73,54131,1,0.1
80000,73,72027,1,0.1
100000,73,90011,1,0.1
2,74,2,1,0.1
3,74,2,1,0.1
100,74,84,1,0.1
200,74,180,1,0.1
2000,74,1798,1,0.1
10000,74,8995,1,0.1
20000,74,17979,1,0.1
40000,74,36078,1,0.1
60000,74,54122,1,0.1
80000,74,72194,1,0.1
100000,74,89982,1,0.1
2,75,2,1,0.1
3,75,2,1,0.1
100,75,92,1,0.1
200,75,177,1,0.1
2000,75,1806,1,0.1
10000,75,9017,1,0.1
20000,75,18037,1,0.1
40000,75,35947,1,0.1
60000,75,53969,1,0.1
80000,75,72073,1,0.1
100000,75,89967,1,0.1
2,76,2,1,0.1
3,76,3,1,0.1
100,76,91,1,0.1
200,76,172,1,0.1
2000,76,1809,1,0.1
10000,76,8978,1,0.1
20000,76,17960,1,0.1
40000,76,35921,1,0.1
60000,76,54130,1,0.1
80000,76,71987,1,0.1
100000,76,89999,1,0.1
2,77,2,1,0.1
3,77,3,1,0.1
100,77,90,1,0.1
200,77,182,1,0.1
2000,77,1787,1,0.1
10000,77,8971,1,0.1
20000,77,17956,1,0.1
40000,77,36132,1,0.1
60000,77,53913,1,0.1
80000,77,71893,1,0.1
100000,77,89901,1,0.1
2,78,2,1,0.1
3,78,2,1,0.1
100,78,85,1,0.1
200,78,178,1,0.1
2000,78,1785,1,0.1
10000,78,9009,1,0.1
20000,78,18042,1,0.1
40000,78,36003,1,0.1
60000,78,54128,1,0.1
80000,78,72047,1,0.1
100000,78,90016,1,0.1
2,79,2,1,0.1
3,79,3,1,0.1
100,79,91,1,0.1
200,79,181,1,0.1
2000,79,1826,1,0.1
10000,79,9021,1,0.1
20000,79,17920,1,0.1
40000,79,36039,1,0.1
60000,79,53965,1,0.1
80000,79,72121,1,0.1
100000,79,89915,1,0.1
2,80,2,1,0.1
3,80,2,1,0.1
100,80,87,1,0.1
